game_date,game_id,period,number_original,clock,player1,player2,known_defender,locX,locY,possession,defender_name,slug_team,slug_opp,minutes_remaining,seconds_remaining,event_type,action_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,shot_attempted_flag,shot_made_flag,shot_type,defense_category
2024-11-18,22400251,1,7,11:33,James Harden,NA,NA,7,104,1,Andrew Wiggins,GSW,LAC,11,33,Missed Shot,Floating Jump shot,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,0,2pt,10-15 Ft
2024-11-18,22400251,1,7,11:33,James Harden,NA,NA,7,104,1,Draymond Green,GSW,LAC,11,33,Missed Shot,Floating Jump shot,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,0,2pt,10-15 Ft
2024-11-18,22400251,1,7,11:33,James Harden,NA,NA,7,104,1,Lindy Waters III,GSW,LAC,11,33,Missed Shot,Floating Jump shot,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,0,2pt,10-15 Ft
2024-11-18,22400251,1,7,11:33,James Harden,NA,NA,7,104,1,Stephen Curry,GSW,LAC,11,33,Missed Shot,Floating Jump shot,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,0,2pt,10-15 Ft
2024-11-18,22400251,1,7,11:33,James Harden,NA,NA,7,104,1,Trayce Jackson-Davis,GSW,LAC,11,33,Missed Shot,Floating Jump shot,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,0,2pt,10-15 Ft
2024-11-18,22400251,1,9,11:22,Lindy Waters III,Draymond Green,NA,-49,255,1,Derrick Jones Jr.,LAC,GSW,11,22,Made Shot,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,1,1,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,9,11:22,Lindy Waters III,Draymond Green,NA,-49,255,1,Ivica Zubac,LAC,GSW,11,22,Made Shot,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,1,1,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,9,11:22,Lindy Waters III,Draymond Green,NA,-49,255,1,James Harden,LAC,GSW,11,22,Made Shot,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,1,1,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,9,11:22,Lindy Waters III,Draymond Green,NA,-49,255,1,Kris Dunn,LAC,GSW,11,22,Made Shot,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,1,1,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,9,11:22,Lindy Waters III,Draymond Green,NA,-49,255,1,Norman Powell,LAC,GSW,11,22,Made Shot,Jump Shot,Above the Break 3,Center(C),24+ ft.,25,1,1,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,12,10:56,James Harden,NA,NA,-164,221,0,Andrew Wiggins,GSW,LAC,10,56,Missed Shot,Pullup Jump shot,Above the Break 3,Left Side Center(LC),24+ ft.,27,1,0,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,12,10:56,James Harden,NA,NA,-164,221,0,Draymond Green,GSW,LAC,10,56,Missed Shot,Pullup Jump shot,Above the Break 3,Left Side Center(LC),24+ ft.,27,1,0,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,12,10:56,James Harden,NA,NA,-164,221,0,Lindy Waters III,GSW,LAC,10,56,Missed Shot,Pullup Jump shot,Above the Break 3,Left Side Center(LC),24+ ft.,27,1,0,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,12,10:56,James Harden,NA,NA,-164,221,0,Stephen Curry,GSW,LAC,10,56,Missed Shot,Pullup Jump shot,Above the Break 3,Left Side Center(LC),24+ ft.,27,1,0,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,12,10:56,James Harden,NA,NA,-164,221,0,Trayce Jackson-Davis,GSW,LAC,10,56,Missed Shot,Pullup Jump shot,Above the Break 3,Left Side Center(LC),24+ ft.,27,1,0,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,17,10:23,Ivica Zubac,James Harden,NA,-22,48,1,Andrew Wiggins,GSW,LAC,10,23,Made Shot,Hook Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,1,2pt,Less Than 6 Ft
2024-11-18,22400251,1,17,10:23,Ivica Zubac,James Harden,NA,-22,48,1,Draymond Green,GSW,LAC,10,23,Made Shot,Hook Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,1,2pt,Less Than 6 Ft
2024-11-18,22400251,1,17,10:23,Ivica Zubac,James Harden,NA,-22,48,1,Lindy Waters III,GSW,LAC,10,23,Made Shot,Hook Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,1,2pt,Less Than 6 Ft
2024-11-18,22400251,1,17,10:23,Ivica Zubac,James Harden,NA,-22,48,1,Stephen Curry,GSW,LAC,10,23,Made Shot,Hook Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,1,2pt,Less Than 6 Ft
2024-11-18,22400251,1,17,10:23,Ivica Zubac,James Harden,NA,-22,48,1,Trayce Jackson-Davis,GSW,LAC,10,23,Made Shot,Hook Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,1,2pt,Less Than 6 Ft
2024-11-18,22400251,1,19,10:11,Andrew Wiggins,NA,NA,109,224,1,Derrick Jones Jr.,LAC,GSW,10,11,Missed Shot,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,1,0,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,19,10:11,Andrew Wiggins,NA,NA,109,224,1,Ivica Zubac,LAC,GSW,10,11,Missed Shot,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,1,0,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,19,10:11,Andrew Wiggins,NA,NA,109,224,1,James Harden,LAC,GSW,10,11,Missed Shot,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,1,0,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,19,10:11,Andrew Wiggins,NA,NA,109,224,1,Kris Dunn,LAC,GSW,10,11,Missed Shot,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,1,0,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,19,10:11,Andrew Wiggins,NA,NA,109,224,1,Norman Powell,LAC,GSW,10,11,Missed Shot,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,1,0,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,21,10:06,Kris Dunn,NA,NA,20,14,1,Andrew Wiggins,GSW,LAC,10,6,Made Shot,Running Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,2,1,1,2pt,Less Than 6 Ft
2024-11-18,22400251,1,21,10:06,Kris Dunn,NA,NA,20,14,1,Draymond Green,GSW,LAC,10,6,Made Shot,Running Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,2,1,1,2pt,Less Than 6 Ft
2024-11-18,22400251,1,21,10:06,Kris Dunn,NA,NA,20,14,1,Lindy Waters III,GSW,LAC,10,6,Made Shot,Running Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,2,1,1,2pt,Less Than 6 Ft
2024-11-18,22400251,1,21,10:06,Kris Dunn,NA,NA,20,14,1,Stephen Curry,GSW,LAC,10,6,Made Shot,Running Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,2,1,1,2pt,Less Than 6 Ft
2024-11-18,22400251,1,21,10:06,Kris Dunn,NA,NA,20,14,1,Trayce Jackson-Davis,GSW,LAC,10,6,Made Shot,Running Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,2,1,1,2pt,Less Than 6 Ft
2024-11-18,22400251,1,24,09:45,James Harden,Ivica Zubac,NA,60,258,1,Andrew Wiggins,GSW,LAC,9,45,Made Shot,Step Back Jump shot,Above the Break 3,Center(C),24+ ft.,26,1,1,3pt,Greater Than 15 Ft
2024-11-18,22400251,1,24,09:45,James Harden,Ivica Zubac,NA,60,258,1,Draymond Green,GSW,LAC,9,45,Made Shot,Step Back Jump shot,Above the Break 3,Center(C),24+ ft.,26,1,1,3pt,Greater Than 15 Ft
